number,title,image,year,location,color_1,color_2,color_3,color_4,color_5
1,Still Life with Cabbage and Clogs,Still_Life_with_Cabbage_and_Clogs.jpg,1881,"Van Gogh Museum, Amsterdam (F1)",#776B52,#80643A,#423F31,#59513C,#B59F65
2,"Crouching Boy with Sickle, Black chalk and watercolor",Van_Gogh_-_Kauernder_Junge_mit_Sichel.jpeg,1881,"Kröller-Müller Museum, Otterlo, Netherlands (F851)",#665E37,#908B7C,#BAB573,#D4D2C2,#A2A246
3,"Old Man at the Fireside, Black chalk, reddish brown and grey wash, orange red chalk, opaque watercolor on laid paper",An_Old_Man_Putting_Dry_Rice_on_the_Hearth_1881_Vincent_van_Gogh.jpg, 1881 ,"Kröller-Müller Museum, Otterlo, Netherlands (F868)",#4B432A,#68624B,#7C6B4C,#B29063,#786644
4,"Woman Sewing, Watercolor","Van_Gogh_1881-12,_Etten_-_Scheveningen_Woman_Sewing_F_869_JH_83.jpg",1881-82,"P. and N. de Boer Foundation, Amsterdam (F869)",#66615C,#4A453F,#938779,#716152,#666157
5,Woman with White Shawl,Woman_with_White_Shawl_in_a_Wood.jpg,1882,"Teheran, Collection A. Farmanformaian (F949) ",#687455,#656C4B,#939C76,#707249,#4A5034
6,"Beach at Scheveningen in Calm Weather, oil on paper on wood",Van_Gogh_-_Strand_von_Schevenigen_bei_Windstille.jpeg,1882,Private collection (F2),#D2DDDE,#6E5736,#BFB48A,#E0CE97,#BFA15A
7,Dunes,Van_Gogh_-_Landschaft_mit_Dünen.jpeg,1882,Private collection (F2a),#CBBFAA,#CEAE5F,#A28751,#755B2D,#CCA834
8,Dunes with Figures,Dunes_with_Figures.jpg,1882, Private Collection (F3),#987662,#5C3C35,#876350,#958181,#77615D
9,Beach at Scheveningen in Stormy Weather,Van_Gogh_-_Strand_von_Scheveningen_bei_stürmischen_Wetter.jpeg,1882,"Van Gogh Museum, Amsterdam (F4)",#604B30,#937541,#968167,#7F6C58,#BEA67F
10,Fisherman on the Beach,Fisherman_on_the_Beach.jpg,1882,"Kröller-Müller Museum, Otterlo (F5)",#17191C,#534E2C,#B2B562,#6F633B,#877D41
11,Fisherman's Wife on the Beach,Fisherman's_Wife_on_the_Beach.jpg,1882,"Kröller-Müller Museum, Otterlo (F6)",#1A1A1F,#3F381D,#48452E,#3C3B35,#7F7541
12,Women Mending Nets in the Dunes,Women_Mending_Nets_in_the_Dunes.jpg,1882,"Collection: François Odermatt, Montreal (F7)",#626D61,#56615A,#515A4D,#323C37,#92A1A0
13,"Annotated by the artist in ink at lower left: ""At Eternity's gate"" lithograph,",Old_Man_with_his_Head_in_his_Hands_(At_Eternity's_Gate).jpg,1882, Tehran Museum of Contemporary Art (F1662),#6E5F51,#DCCCBB,#B8A898,#B0A090,#A99A8A
14,Girl in White in the Woods,Girl_in_White_in_the_Woods.jpg,1882,"Kröller-Müller Museum, Otterlo, Netherlands (F8)",#6B4420,#7A542E,#44311E,#5E4B35,#9A7549
15,Girl in the Woods,Girl_in_the_Woods.jpg,1882,Private collection (F8a),#646765,#5B5E5C,#949693,#404341,#545755
16,Man Stooping with Stick or Spade,Man_Stooping_with_Stick_or_Spade.jpg,1882,"Kuboso Memorial Museum of Arts, Izumi, Japan (F12)",#715626,#736027,#766A42,#AB6D23,#4C3B1E
17,"A Girl in the Street, Two Coaches in the Background","Girl_in_the_Street,_Two_Coaches_in_the_Background,_A.jpg",1882,Private collection (F13),#C6A63F,#795E25,#422F0D,#997520,#D5C26C
18,Edge of a Wood,Edge_of_a_Wood.jpg,1882,"Kröller-Müller Museum, Otterlo, Netherlands (F192)",#555446,#685B3A,#393930,#54492A,#978556
19,Cluster of Old Houses with the New Church in The Hague,Cluster_of_Old_Houses_with_the_New_Church_in_The_Hague.jpg,1882,Private collection (F204),#292B2A,#A8A48C,#6B6350,#65695C,#5E5848
20,"The Iron Mill in The Hague, watercolor",Iron_Mill_in_The_Hague.jpg,1882,Private collection (F926) ,#948448,#AC9D61,#DBCC93,#7E7144,#554824
21,"Meadows near Rijswijk, watercolor",Meadows_near_Rijswijk.jpg,1882,Private collection (F927) ,#DFC6B2,#694A3A,#A18272,#9A7B6B,#AB8D7C
22,"Sorrow, drawing",Vincent_van_Gogh_-_Sorrow.jpg,1882, Garman Ryan Collection (F929a) ,#9E8583,#5D4950,#F2E5DB,#D7B6A2,#B99481
23,"Back Garden of Sien's Mother's House, the Hague, drawing","Sien's-Mother's-House,-Closer-View_F942_Vincent_van_Gogh.jpg",1882,"Norton Simon Museum, Pasadena, California (F942) ",#665537,#3E311A,#5C4E35,#605642,#857659
24,"Rooftops, View from the Atelier, watercolor with white",Vincent_Willem_van_Gogh_016.jpg,1882,Private collection (F943),#A4ACAA,#A86D61,#A88872,#C7BCAB,#705C4A
25,"Bleaching Ground at Scheveningen also Bleaching Ground, watercolor",Vincent_van_Gogh_-_Bleaching_Ground_at_Scheveningen_-_Google_Art_Project.jpg,1882,"J. Paul Getty Museum, Los Angeles (F946r) ",#98907A,#9EA2A4,#AEA286,#73674D,#D0CEC9
26,"Pollard Willow, watercolor","Vincent_van_Gogh_-_Knotwilg,_1882_(Van_Gogh_Museum).jpg",1882,"Van Gogh Museum in Amsterdam, Netherlands.  (F947) ",#9E998A,#7D785E,#7B7B4C,#858063,#555135
27,"Portrait of a Man in a Top Hat also Orphan Man with Top Hat, drawing",Vincent_van_Gogh_-_Orphan_Man_with_Top_Hat_(F954).jpg,1882,"Worcester Art Museum, Worcester, Massachusetts (F954) ",#E4C48A,#4E432D,#9D8659,#7D6B46,#8B774E
28,"In Church also Church Pew with Worshippers, watercolor",Vincent_van_Gogh_-_Church_Pew_with_Worshippers_(F967).jpg,1882,"Kröller-Müller Museum, Otterlo, Netherlands (F967) ",#786D62,#353C39,#B19782,#939292,#CDC1B7
29,The State Lottery also The Poor and Money,Vincent_van_Gogh_-_The_State_Lottery_Office_(F970).jpg,1882,"Van Gogh Museum, Amsterdam (F970)",#7B593E,#1D130C,#B09888,#6E6264,#47362A
30,"Portrait of Jozef Blok also The Bookseller Blok, watercolor","Jozef_Blok,_by_Vincent_van_Gogh.jpg",1882,"Van Gogh Museum, Amsterdam (F993)",#BF9973,#8F7964,#A1856C,#9C846D,#9B8067
31,"Sien Nursing Baby, watercolor and chalk",Sien_Nursing_Baby.jpg,1882,Private collection (F1068),#494336,#9F9C92,#726F65,#726D61,#777367
32,"The Potato Market, watercolor",Potato_Market.jpg,1882,Private collection (F1091) ,#8F897D,#C4BEB3,#4D463B,#8C867A,#888277
33,Two Women in the Woods,Two_women_in_a_wood_-_VINCENT_VAN_GOGH_(1853-1890)_12_1-4_x_9_7-16in._(31_x_24cm).jpg,1882,Private Collection (F1665),#5C3E17,#3B2D1E,#564B32,#816237,#503D28
34,Lying Cow,Van_Gogh_-_Liegende_Kuh2.jpeg,1883,Private collection (F1b),#786B38,#544332,#806B59,#8E8843,#AC9F6C
35,Lying Cow,Van_Gogh_-_Liegende_Kuh.jpeg,1883,Location unknown (F1c),#6E656E,#A098A1,#665D65,#635A62,#3D363D
36,Potato Digging (Five Figures),Potato_Digging_(Five_Figures).jpg,1883,Private collection (F9),#534829,#857D5A,#281F0F,#5A523F,#C5BD92
37,A Wind-Beaten Tree,"Wind-Beaten_Tree,_A.jpg",1883,Location unknown (stolen from private collection) (F10),#E4D376,#7F6026,#BCAF4D,#3E190B,#BCA821
38,The Sower (study),Van_Gogh_-_Der_Sämann_(Studie).jpeg,1883,Location Unknown (F11),#857E85,#B4AEB7,#817A81,#89828A,#453E45
39,Cows in the Meadow,Vincent_van_Gogh_-_Cows_in_the_Meadow_(1883).jpg,1883,Private collection (F15),#74694E,#807457,#504A2F,#766E57,#C0B092
40,Landscape with Dunes,Landscape_with_Dunes.jpg,1883,Private collection (F15a),#899679,#8A8E68,#5D5A41,#C8CA9F,#9B9967
41,Farmhouses in Loosduinen near The Hague at Twilight,Farmhouses_in_Loosduinen_near_The_Hague_at_Twilight.jpg,1883,"Centraal Museum, Utrecht, Netherlands (F16)",#543B2F,#6E513F,#A38E53,#CEB56B,#85573E
42,Cottages,Van_Gogh_-_Bauernhäuser.jpeg,1883,"Van Gogh Museum, Amsterdam (F17)",#716F69,#444236,#818458,#8B9481,#A4A89E
43,Farmhouse Among Trees,Farmhouses_Among_Trees.jpg,1883,"Museum Kolekcji Jana Pawla II, Warsaw, Poland (F18)",#472C19,#8E8959,#6C5D37,#7D6E41,#BFCDB6
44,Two Women in the Moor,WLANL_-_h3m3ls_-_Vincent_van_Gogh_Two_women_in_the_moor_1883.jpg,1883,"Van Gogh Museum, Amsterdam (F19)",#626E6B,#7F8F8B,#727267,#3D4342,#5B6A67
45,Peasant Burning Weeds,Peasant_Burning_Weeds.jpg,1883,Private collection (F20),#58452C,#5E4B32,#5F4E32,#3E3728,#393225
46,Peat Boat with Two Figures,Van_Gogh_-_Torfboot_mit_zwei_Figuren.jpeg,1883,"Drents Museum, Assen, Netherlands (F21)",#9BA8A3,#6D7A66,#58604D,#343832,#767659
47,Farm with Stacks of Peat,Farm_with_Stacks_of_Peat.jpg,1883,"Van Gogh Museum, Amsterdam (F22)",#777B5C,#321024,#5B4943,#5F5649,#52383B
48,Bulb Fields also Flower Beds in Holland,Bulb_Fields.jpg,1883," National Gallery of Art, Washington D.C. (F186)",#989785,#AA9068,#BDB195,#8D7A54,#5C5035
49,Landscape with a Church at Twilight,Landscape_with_a_Church_at_Twilight.jpg,1883,Private collection (F188),#818280,#BDBDB9,#878789,#4F5050,#888985
50,Footbridge across a Ditch,Footbridge_across_a_Ditch.jpg,1883,Private collection (F189),#3D433B,#50574F,#4B5149,#565D55,#787F77
51,"Woman on Her Deathbed, watercolor",Woman_on_her_Deathbed.jpg,1883,"Kröller-Müller Museum, Otterlo, Netherlands (F841)",#8F8A67,#C9C3A4,#797559,#67634A,#403D2F
52,"Woman with Wheelbarrow, watercolor",Scheveningen_Woman_with_Wheeelbarrow.jpg,1883,"Kröller-Müller Museum, Otterlo, Netherlands (F1021)",#AEA880,#B7AE85,#E3D6AD,#7E7D5C,#B1AC85
53,"Saying Grace (van Gogh) also Woman Praying, drawing",Woman-praying-1883_van_Gogh.jpg,1883,"Kröller-Müller Museum, Otterlo, Netherlands (F1053)",#616658,#686B59,#45463C,#969A84,#5E6251
54,"Woman Seated also Woman with White Cloth around her Head, Sitting on a Bench, drawing",Woman-with-white-cloth-around-her-head-sitting-on-a-bench-1883.jpg,1883,"Kröller-Müller Museum, Otterlo, Netherlands (F1056)",#363137,#686369,#625D63,#676268,#A39EA4
55,"Woman Feeding Chickens, drawing",Woman-feeding-chickens-1883.jpg,1883,"Kröller-Müller Museum, Otterlo, Netherlands (F1080)",#5B565C,#9F9BA0,#544F55,#585359,#2E292F
56,"Peatery in Drenthe also Peat Bog, watercolor","Van_Gogh_-_Paisaje_en_Drenthe,_1883.jpg",1883,Private collection (F1094),#302A2E,#DEC1C3,#5E5253,#7A6B6A,#9A888A
57,"Drawbridge in Nieuw New Amsterdam, watercolor",Vincent_van_Gogh_Ophaalbrug_in_Nieuw-Amsterdam.jpg,1883,"Groninger Museum, Groningen, Netherlands (F1098)",#A49E87,#A9A38B,#C1BBA7,#736C4C,#9F987C
58,"Landscape with Wheelbarrow also Heath with a Wheelbarrow, watercolor",Van_Gogh_-_Heide_mit_Schubkarren.jpeg,1883,"Cleveland Museum of Art, Cleveland, Ohio (F1100)",#AE9D86,#564B41,#918275,#82745D,#D0C4CB
59,"A Wood Auction also Lumber Sale, watercolor",A_Wood_Auction.jpg,1883,"Kröller-Müller Museum, Otterlo, Netherlands (F1113)",#683F29,#4B2418,#6D4C36,#6D4631,#8D6444
60,"Three Figures near a Canal with Windmill, drawing",Three_Figures_near_a_Canal_with_Windmill.jpg,1883,Location unknown (F1666),#51524D,#7B7A74,#7F7D77,#BAB5AD,#83817B
61,"Landscape with Trees, Black chalk, ink and watercolour",Landscape_with_Trees_(1883)_van_Gogh.jpg,1883,"Private collection (No F number, JH Add. 21)",#2E2F2C,#757772,#BABBB5,#6C6E69,#72736E
62,Marshy Landscape,Marshy_Landscape.jpg,1883,"Private collection (No F number, JH 394)",#785537,#593E2D,#9C7647,#7D5A38,#724E34
